_index,id,type,para1,para2,guide,step,para,_trailingBytes
0,10009,2,0,0,2,10801,0,1834
1,10010,1,10001,0,0,0,0,1834
2,10011,2,0,0,2,11001,0,1834
3,10013,2,0,0,2,11201,0,1834
4,10015,1,0,15001,0,0,0,1834
5,10016,2,0,0,2,11501,0,1834
6,10018,1,18001,0,0,0,0,1834
7,10020,1,0,20001,0,0,0,1834
8,10021,2,0,0,2,12001,0,1834
9,10023,1,23001,0,0,0,0,1834
10,10025,1,0,25001,0,0,0,1834
11,10026,2,0,0,2,12501,0,1834
12,10028,1,28001,0,0,0,0,1834
13,10030,1,0,30001,0,0,0,1834
14,10032,1,31001,0,0,0,0,1834
15,10035,1,0,35001,0,0,0,1834
16,10036,2,0,0,2,13501,0,1834
17,10040,1,40001,0,0,0,0,1834
18,10041,2,0,0,2,21001,0,1834
19,10046,2,0,0,2,21501,0,1834
20,10047,1,0,45001,0,0,0,1834
21,10048,1,48001,0,0,0,0,1834
22,10050,1,0,50001,0,0,0,1834
23,10051,2,0,0,2,22001,0,1834
24,10053,1,53001,0,0,0,0,1834
25,10056,1,0,55001,0,0,0,1834
26,10058,1,58001,0,0,0,0,1834
27,10060,1,0,60001,0,0,0,1834
28,10061,2,0,0,2,23001,0,1834
29,10062,1,61001,0,0,0,0,1834
30,10066,1,0,65001,0,0,0,1834
31,10070,1,70001,0,0,0,0,1834
32,10071,2,0,0,2,97001,0,1834
33,10076,1,0,75001,0,0,0,1834
34,10080,1,80001,0,0,0,0,1834
35,10091,2,0,0,2,33001,0,1834
36,10092,1,0,90001,0,0,0,1834
37,10111,2,0,0,2,42001,0,1834
38,10131,2,0,0,2,51001,0,1834
39,10241,2,0,0,2,61001,0,1834
40,10221,2,0,0,2,62001,0,1834
41,10181,2,0,0,2,63001,0,1834
42,10191,2,0,0,2,71001,0,1834
43,10201,2,0,0,2,96001,0,1834
44,10251,2,0,0,2,91001,0,1834
45,10331,2,0,0,2,61101,0,1834
46,10291,2,0,0,2,92001,0,1834
47,10321,2,0,0,2,93001,0,1834
48,10361,2,0,0,2,94001,0,1834
49,10391,2,0,0,2,95001,0,1834
50,10093,1,91001,0,0,0,0,1834
51,10097,1,0,91030,0,0,0,1834
52,10100,1,91068,0,0,0,0,1834
53,10106,1,0,91104,0,0,0,1834
54,10110,1,91131,0,0,0,0,1834
55,10121,1,0,91171,0,0,0,1834
56,10122,1,91211,0,0,0,0,1834
57,10132,1,0,91257,0,0,0,1834
58,10140,1,91290,0,0,0,0,1834
59,10151,1,0,91368,0,0,0,1834
60,10152,1,91421,0,0,0,0,1834
61,10162,1,0,91549,0,0,0,1834
62,10170,1,91590,0,0,0,0,1834
63,10180,1,91641,0,0,0,0,1834
64,10182,1,91713,0,0,0,0,1834
65,10186,1,0,91756,0,0,0,1834
66,10190,1,91811,0,0,0,0,1834
67,10196,1,0,91869,0,0,0,1834
68,10200,1,91957,0,0,0,0,1834
69,10211,1,0,92063,0,0,0,1834
70,10212,1,92133,0,0,0,0,1834
71,10230,1,92248,0,0,0,0,1834
72,10240,1,0,92303,0,0,0,1834
73,10242,1,92367,0,0,0,0,1834
74,10252,1,0,92410,0,0,0,1834
75,10260,1,92461,0,0,0,0,1834
76,10270,1,92535,0,0,0,0,1834
77,10271,1,92585,0,0,0,0,1834
78,10276,1,0,92655,0,0,0,1834
79,10280,1,92721,0,0,0,0,1834
80,10286,1,0,92759,0,0,0,1834
81,10290,1,92821,0,0,0,0,1834
82,10301,1,0,92866,0,0,0,1834
83,201,3,601,0,0,0,0,1834
84,202,3,611,0,0,0,0,1834
85,203,3,621,0,0,0,0,1834
86,204,3,631,0,0,0,0,1834
87,205,3,641,0,0,0,0,1834
88,206,3,651,0,0,0,0,1834
89,207,3,661,0,0,0,0,1834
90,208,3,671,0,0,0,0,1834
91,209,3,681,0,0,0,0,1834
92,210,3,691,0,0,0,0,1834
93,211,3,701,0,0,0,0,1834
94,212,3,711,0,0,0,0,1834
95,213,3,721,0,0,0,0,1834
96,1001,6,1001,0,0,0,0,1834
97,1002,6,1026,0,0,0,0,1834
98,1003,6,1069,0,0,0,0,1834
99,1004,6,1104,0,0,0,0,1834
100,1005,6,1145,0,0,0,0,1834
101,1006,6,1186,0,0,0,0,1834
102,1007,6,1220,0,0,0,0,1834
103,2001,6,1268,0,0,0,0,1834
104,2002,6,1317,0,0,0,0,1834
105,2003,6,1367,0,0,0,0,1834
106,2004,6,1419,0,0,0,0,1834
107,2005,6,1486,0,0,0,0,1834
108,2006,6,1537,0,0,0,0,1834
109,2007,6,1592,0,0,0,0,1834
