id,address,assetPath,assetTags,bundleID,bundleName,fileName,fileHash,fileCRC,fileSize,encrypted,dependAssetIDs,dependBundleIDs
0,Assets/Game/Lang/badwords.txt,,Static,0,assets_game_rawassets_prefabs_3d_hero_005q_attack_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_005q_attack_shifa.bundle,b0d793c819b79e77fb3d123a762410d9,782561ac,29140,False,,
1,Assets/Game/Lang/lang.json,,Static,1,assets_game_rawassets_prefabs_3d_hero_005q_skill_1.bundle,assets_game_rawassets_prefabs_3d_hero_005q_skill_1.bundle,28496f97d2b64e2e952752e08e670a21,9a7a37e3,55365,False,,
2,Assets/Game/Lang/lang_extra.json,,Static,2,assets_game_rawassets_prefabs_3d_hero_006q_attack1_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_006q_attack1_shifa.bundle,a1237ff092d0c96c090572569ec5f5a0,8e024665,29273,False,,
3,Assets/Game/RawAssets/GameAssetCfg/BattleAnimationCfgSetting.asset,,,3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,
4,Assets/Game/RawAssets/GameAssetCfg/BattleHitCfgSetting.asset,,,3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,
5,Assets/Game/RawAssets/GameAssetCfg/BattleHUDCfgSetting.asset,,,3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,
6,Assets/Game/RawAssets/GameAssetCfg/BattlePerformCfgSetting.asset,,,3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,
7,Assets/Game/RawAssets/GameAssetCfg/BattleTextStyleCfgSetting.asset,,,3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,
8,Assets/Game/RawAssets/GuideAsset/Graph/Guide1.asset,,GuideAsset,4,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,5d0df7c13d57b4371f083e1c5c5df856,ee177bce,39991,False,5|6|7|95|96|5398|6609|6614|6616|6618|6629|6633|6634|6637|6638|6640|6748|6749|6822|6873,
9,Assets/Game/RawAssets/GuideAsset/Graph/GuideConfig.asset,,GuideAsset,4,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,5d0df7c13d57b4371f083e1c5c5df856,ee177bce,39991,False,6873,
10,Assets/Game/RawAssets/GuideAsset/Graph/GuideGraph.asset,,GuideAsset,4,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,5d0df7c13d57b4371f083e1c5c5df856,ee177bce,39991,False,5|6|7|95|96|4167|4174|5398|6609|6614|6616|6618|6629|6633|6634|6637|6638|6640|6748|6749|6822|6824|6873,
