block_id,spine_type,spine_object_name,anim_name,skin_name,is_loop,row_index
150420101,1,InGame_SpineBlock_Koko,Idle,,1,0
150420101,10001,InGame_SpineBlock_Koko,InItem,,1,1
150420101,10002,InGame_SpineBlock_Koko,Fabricating,,1,2
150420101,10003,InGame_SpineBlock_Koko,FinishReady,,1,3
1420101,1,InGame_SpineBlock_Blender,Idle,,1,4
1420101,10001,InGame_SpineBlock_Blender,InItem,,1,5
1420101,10002,InGame_SpineBlock_Blender,Fabricating,,1,6
1420101,10003,InGame_SpineBlock_Blender,FinishReady,,1,7
202302101,1,InGame_SpineBlock_BindingMachine,Idle,,1,8
202302101,10001,InGame_SpineBlock_BindingMachine,InItem,,1,9
202302101,10002,InGame_SpineBlock_BindingMachine,Fabricating,,1,10
202302101,10003,InGame_SpineBlock_BindingMachine,FinishReady,,1,11
201301101,1,InGame_SpineBlock_BindingMachine,Idle,,1,12
201301101,10001,InGame_SpineBlock_BindingMachine,InItem,,1,13
201301101,10002,InGame_SpineBlock_BindingMachine,Fabricating,,1,14
201301101,10003,InGame_SpineBlock_BindingMachine,FinishReady,,1,15
