_index,id,urDraw,isUr,name,heroShow,probabilityShow,levelLimit,dayLimit,oncecond,continuouscond,generalItem,gold,goldtype,goldTime,continuousrewardtimes,tendrawCost,continuousgoldTime,free,cdTime,rewardShow,reward2,reward3,reward1,reward4,cntF,rewardF2,cntF2,cnt2,cnt3,cnt4,wishListStage,wishListHero,wishListNum,rateUp,wishListOpen,wishLimit
0,241055,,0,draw_n241055,240055,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380018,380301,380302,380302,99999999,380018,50,50,60,0,,,0,,,0
1,241076,,0,draw_n241076,240076,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380017,380301,380302,380302,99999999,380017,50,50,60,0,,,0,,,0
2,241081,,0,draw_n241081,240081,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380015,380301,380302,380302,99999999,380015,50,50,60,0,,,0,,,0
3,241083,,0,draw_n241083,240083,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380016,380301,380302,380302,99999999,380016,50,50,60,0,,,0,,,0
4,241085,,0,draw_n241085,240085,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380014,380301,380302,380302,99999999,380014,50,50,60,0,,,0,,,0
5,241086,,0,draw_n241086,240086,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380019,380301,380302,380302,99999999,380019,50,50,60,0,,,0,,,0
6,241092,,0,draw_n241092,240092,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380020,380301,380302,380302,99999999,380020,50,50,60,0,,,0,,,0
7,241095,,0,draw_n241095,240095,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380027,380301,380302,380302,99999999,380027,50,50,60,0,,,0,,,0
8,241093,,0,draw_n241093,240093,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380022,380301,380302,380302,99999999,380022,50,50,60,0,,,0,,,0
9,241094,,0,draw_n241094,240094,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380026,380301,380302,380302,99999999,380026,50,50,60,0,,,0,,,0
10,241096,,0,draw_n241096,240096,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380028,380301,380302,380302,99999999,380028,50,50,60,0,,,0,,,0
11,241097,,0,draw_n241097,240097,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380029,380301,380302,380302,99999999,380029,50,50,60,0,,,0,,,0
12,241098,,0,draw_n241098,240098,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380030,380301,380302,380302,99999999,380030,50,50,60,0,,,0,,,0
13,241099,,0,draw_n241099,240099,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380032,380301,380302,380302,99999999,380032,50,50,60,0,,,0,,,0
14,241100,,0,draw_n241100,240100,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380035,380301,380302,380302,99999999,380035,50,50,60,0,,,0,,,0
15,241101,,0,draw_n241101,240101,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380036,380301,380302,380302,99999999,380036,50,50,60,0,,,0,,,0
16,241102,,0,draw_n241102,240102,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380037,380301,380302,380302,99999999,380037,50,50,60,0,,,0,,,0
17,241103,,0,draw_n241103,240103,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380038,380301,380302,380302,99999999,380038,50,50,60,0,,,0,,,0
18,241061,,0,draw_n241061,240061,2004,1,9999,230118;1,230118;10,,999,2,0,10,0,0,0,0,380300,380039,380301,380302,380302,99999999,380039,50,50,60,0,,,0,,,0
19,500001,,0,draw_n500001,240093,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380303,380301,380302,380302,99999999,380303,50,50,60,0,0,240093;240094;240096;240101,1,100,0,1
20,500002,,0,draw_n500001,240094,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380304,380301,380302,380302,99999999,380304,50,50,60,0,0,240098;240099;240097;240100,1,100,0,1
21,500003,,0,draw_n500001,240098,2004,1,9999,230103;1,230103;10,,999,2,0,10,0,0,0,0,380300,380305,380301,380302,380302,99999999,380305,50,50,60,0,0,240093;240094;240096;240101;240098;240099;240097;240100,1,100,0,1
22,100001,,0,draw_n500002,240094,2009,1,9999,230109;1,230109;10,,500,2,0,10,0,0,0,0,380080,380082,380083,380081,380083,99999999,380082,50,50,40,0,0,540101;540201;540301;540401;540501;540601;540701;540801;540901;541001;541101;541201;541301;541401;541501;541601;541701;541801;541901,1,100,0,1
